Transaction Date,HousingPrice,Immgiration,Population(m),InflationRate,Build Permit,Central Bank Balance Sheet,Annual wages,Arable  Cropland ,Corporate Tax,Income Tax,homicide per 100000,Fertility Rate,Indicator Wages,GDP
00-Jan,71.76,86887,2.4815,2.52512,3160335,35850,40985.37337,5.738,42.4,,1.776431652,1.5,16.49,742.29
01-Jan,75.69,86887,2.4815,2.52512,3600731,35225,41667.23856,5.731,40.5,,1.785672153,1.5,16.3,736.38
02-Jan,80.06,86887,2.48585,2.258394,3619000,40399,42029.14369,5.731,38,,1.858184804,1.5,16.57,757.95
03-Jan,87,86887,2.4902,2.758563,4229379,41829,42745.34838,5.732,35.9,29,1.735814365,1.5,16.79,892.38
04-Jan,91.63,86887,2.49456,1.857259,3978250,41384,44565.57791,5.733,34.4,29,1.956217229,1.5,17.59,1023.2
05-Jan,96.27,86887,2.49893,2.213552,4039342,44042,47250.4833,5.734,34.2,29,2.05649285,1.5,18.07,1169.36
06-Jan,102.21,86887,2.50328,2.002025,4610686,45400,49387.02075,5.555,33.9,29,1.862432239,1.6,18.51,1315.42
07-Jan,104.94,86887,2.52562,2.138384,6214228,48249,51387.36202,5.497,34,29,1.807998878,1.7,19.21,1464.98
08-Jan,113.67,86665,2.54797,2.370271,5899423,49999,53147.50359,5.44,31.4,29,1.838073067,1.7,19.91,1549.13
09-Jan,110.62,82391,2.57037,0.2994668,4273482,78905.8,53823.59915,5.382,31,29,1.80527686,1.7,20.32,1371.15
10-Jan,121.43,91850,2.59272,1.776872,5605947,71095.9,54788.25324,5.324,29.4,29,1.627221758,1.6,20.56,1613.46
11-Jan,126.37,77536,2.61506,2.912135,5850729,58479.3,56808.85734,5.267,27.6,29,1.75455755,1.6,21.41,1788.65
12-Jan,138.91,77036,2.67948,1.515678,6572082,63528,58881.32648,5.278,26.1,29,1.570168855,1.6,21.93,1824.29
13-Jan,146.29,81472,2.74408,0.9382919,6335019,77389,60821.03168,5.29,26.1,29,1.443746571,1.6,22.58,1842.63
14-Jan,154.8,75635,2.8085,1.906636,7659878,89997,62667.21542,5.301,26.5,29,1.463288808,1.6,22.88,1799.27
15-Jan,166.18,82096,2.77,1.125241,6815967,94804,63642.48212,5.312,26.5,29,1.680124866,1.6,23.56,1559.62
16-Jan,180.51,81368,2.73,1.42876,6428327,100509,63876.8603,5.312,26.5,33,1.684104545,1.5,23.72,1535.77
17-Jan,218.3,81368,2.73,1.596884,7592577,106988,64947.50739,5.312,26.5,33,1.684104545,1.5,24.04,1653.04
18-Jan,236.57,81368,2.73,2.268226,8383771,111495,64947.50739,5.312,26.5,33,1.684104545,1.5,24.86,1653.04
